spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
green day,boulevard of broken dreams,green day,boulevard of broken dreams,True,74.0,1152,100.0,100.0,100.0
elton john,i'm still standing,elton john,i'm still standing,True,525.0,930,100.0,100.0,100.0
green day,basket case,green day,basket case,True,45.0,1151,100.0,100.0,100.0
green day,american idiot,green day,american idiot,True,52.0,1150,100.0,100.0,100.0
green day,21 guns,green day,21 guns,True,768.0,1149,100.0,100.0,100.0
elton john,"rocket man (i think it's going to be a long, long time)",elton john,"rocket man (i think it's going to be a long, long time)",True,997.0,934,100.0,100.0,100.0
nirvana,drain you,nirvana,drain you,True,1643.0,2194,100.0,100.0,100.0
nirvana,come as you are,nirvana,come as you are,True,3.0,2193,100.0,100.0,100.0
lady gaga,poker face,lady gaga,poker face,True,105.0,754,100.0,100.0,100.0
ed sheeran,the a team,ed sheeran,the a team,True,700.0,901,100.0,100.0,100.0
ed sheeran,thinking out loud,ed sheeran,thinking out loud,True,989.0,902,100.0,100.0,100.0
nickelback,how you remind me,nickelback,how you remind me,True,430.0,2180,100.0,100.0,100.0
nicki minaj,anaconda,nicki minaj,anaconda,True,1280.0,2183,100.0,100.0,100.0
keane,somewhere only we know,keane,somewhere only we know,True,51.0,1633,100.0,100.0,100.0
depeche mode,personal jesus,depeche mode,personal jesus,True,1033.0,750,100.0,100.0,100.0
nicki minaj,starships,nicki minaj,starships,True,289.0,2186,100.0,100.0,100.0
bee gees,stayin' alive,bee gees,stayin' alive,True,1485.0,265,100.0,100.0,100.0
edward maya,stereo love,edward maya,stereo love,True,1965.0,908,100.0,100.0,100.0
mastodon,blood and thunder,mastodon,blood and thunder,True,1654.0,1995,100.0,100.0,100.0
nicki minaj,super bass,nicki minaj,super bass,True,302.0,2187,100.0,100.0,100.0
nine inch nails,closer,nine inch nails,closer,True,163.0,2191,100.0,100.0,100.0
electric light orchestra,don't bring me down,electric light orchestra,don't bring me down,True,1100.0,911,100.0,100.0,100.0
beastie boys,sabotage,beastie boys,sabotage,True,766.0,257,100.0,100.0,100.0
bonnie tyler,total eclipse of the heart,bonnie tyler,total eclipse of the heart,True,573.0,256,100.0,100.0,100.0
iggy pop,the passenger,iggy pop,the passenger,True,565.0,1288,100.0,100.0,100.0
electric light orchestra,mr. blue sky,electric light orchestra,mr. blue sky,True,514.0,913,100.0,100.0,100.0
tool,forty six & 2,tool,forty six & 2,True,1123.0,3175,100.0,100.0,100.0
kenny loggins,footloose,kenny loggins,footloose,True,1524.0,1644,100.0,100.0,100.0
toto,africa,toto,africa,True,83.0,3177,100.0,100.0,100.0
bathory,a fine day to die,bathory,a fine day to die,True,904.0,250,100.0,100.0,100.0
bastille,pompeii,bastille,pompeii,True,726.0,249,100.0,100.0,100.0
vance joy,riptide,vance joy,riptide,True,248.0,3178,100.0,100.0,100.0
toto,hold the line,toto,hold the line,True,546.0,3179,100.0,100.0,100.0
grouplove,tongue tied,grouplove,tongue tied,True,150.0,1162,100.0,100.0,100.0
beck,loser,beck,loser,True,731.0,259,100.0,100.0,100.0
dr. dre,the next episode,dr. dre,the next episode,True,836.0,835,100.0,100.0,100.0
miley cyrus,party in the u.s.a.,miley cyrus,party in the u.s.a.,True,242.0,2085,100.0,100.0,100.0
drake,best i ever had,drake,best i ever had,True,824.0,836,100.0,100.0,100.0
johnny cash,folsom prison blues,johnny cash,folsom prison blues,True,1543.0,1522,100.0,100.0,100.0
johnny cash,hurt,johnny cash,hurt,True,507.0,1523,100.0,100.0,100.0
johnny cash,i walk the line,johnny cash,i walk the line,True,710.0,1524,100.0,100.0,100.0
sixpence none the richer,kiss me,sixpence none the richer,kiss me,True,283.0,2702,100.0,100.0,100.0
the killers,somebody told me,the killers,somebody told me,True,18.0,2980,100.0,100.0,100.0
the killers,mr. brightside,the killers,mr. brightside,True,1.0,2979,100.0,100.0,100.0
guns n' roses,paradise city,guns n' roses,paradise city,True,499.0,1222,100.0,100.0,100.0
guns n' roses,november rain,guns n' roses,november rain,True,513.0,1221,100.0,100.0,100.0
slayer,angel of death,slayer,angel of death,True,392.0,2711,100.0,100.0,100.0
neil young,heart of gold,neil young,heart of gold,True,713.0,2153,100.0,100.0,100.0
slayer,raining blood,slayer,raining blood,True,362.0,2712,100.0,100.0,100.0
slayer,south of heaven,slayer,south of heaven,True,1585.0,2713,100.0,100.0,100.0
pink floyd,breathe (in the air),pink floyd,breathe (in the air),True,1094.0,2358,100.0,100.0,100.0
pink floyd,comfortably numb,pink floyd,comfortably numb,True,512.0,2359,100.0,100.0,100.0
pink floyd,hey you,pink floyd,hey you,True,1088.0,2360,100.0,100.0,100.0
boston,more than a feeling,boston,more than a feeling,True,515.0,400,100.0,100.0,100.0
pink floyd,learning to fly,pink floyd,learning to fly,True,1128.0,2361,100.0,100.0,100.0
michael sembello,maniac,michael sembello,maniac,True,1513.0,2071,100.0,100.0,100.0
pink floyd,money,pink floyd,money,True,510.0,2362,100.0,100.0,100.0
michael jackson,thriller,michael jackson,thriller,True,243.0,2069,100.0,100.0,100.0
pink floyd,run like hell,pink floyd,run like hell,True,1120.0,2363,100.0,100.0,100.0
bon jovi,you give love a bad name,bon jovi,you give love a bad name,True,508.0,394,100.0,100.0,100.0
pink floyd,the great gig in the sky,pink floyd,the great gig in the sky,True,316.0,2364,100.0,100.0,100.0
guns n' roses,knockin' on heaven's door,guns n' roses,knockin' on heaven's door,True,552.0,1219,100.0,100.0,100.0
bruno mars,just the way you are,bruno mars,just the way you are,True,245.0,453,100.0,100.0,100.0
the neighbourhood,sweater weather,the neighbourhood,sweater weather,True,214.0,3010,100.0,100.0,100.0
bruno mars,locked out of heaven,bruno mars,locked out of heaven,True,233.0,455,100.0,100.0,100.0
don mclean,american pie,don mclean,american pie,True,696.0,823,100.0,100.0,100.0
bruno mars,treasure,bruno mars,treasure,True,1003.0,459,100.0,100.0,100.0
bruno mars,when i was your man,bruno mars,when i was your man,True,1235.0,460,100.0,100.0,100.0
john legend,all of me,john legend,all of me,True,1249.0,1498,100.0,100.0,100.0
dolly parton,jolene,dolly parton,jolene,True,686.0,817,100.0,100.0,100.0
the offspring,pretty fly (for a white guy),the offspring,pretty fly (for a white guy),True,756.0,3019,100.0,100.0,100.0
the offspring,the kids aren't alright,the offspring,the kids aren't alright,True,743.0,3020,100.0,100.0,100.0
bruce springsteen,dancing in the dark,bruce springsteen,dancing in the dark,True,986.0,441,100.0,100.0,100.0
the outfield,your love,the outfield,your love,True,1035.0,3022,100.0,100.0,100.0
dr. dre,still d.r.e.,dr. dre,still d.r.e.,True,830.0,834,100.0,100.0,100.0
john mayer,waiting on the world to change,john mayer,waiting on the world to change,True,1534.0,1510,100.0,100.0,100.0
bryan adams,summer of '69,bryan adams,summer of '69,True,553.0,467,100.0,100.0,100.0
simple minds,don't you (forget about me),simple minds,don't you (forget about me),True,1018.0,2696,100.0,100.0,100.0
the police,message in a bottle,the police,message in a bottle,True,537.0,3028,100.0,100.0,100.0
the police,roxanne,the police,roxanne,True,506.0,3029,100.0,100.0,100.0
gwen stefani,hollaback girl,gwen stefani,hollaback girl,True,292.0,1228,100.0,100.0,100.0
britney spears,womanizer,britney spears,womanizer,True,284.0,430,100.0,100.0,100.0
the lumineers,ho hey,the lumineers,ho hey,True,680.0,2991,100.0,100.0,100.0
britney spears,oops!...i did it again,britney spears,oops!...i did it again,True,318.0,428,100.0,100.0,100.0
the proclaimers,i'm gonna be (500 miles),the proclaimers,i'm gonna be (500 miles),True,712.0,3032,100.0,100.0,100.0
guns n' roses,you could be mine,guns n' roses,you could be mine,True,408.0,1226,100.0,100.0,100.0
britney spears,...baby one more time,britney spears,...baby one more time,True,257.0,424,100.0,100.0,100.0
milky chance,stolen dance,milky chance,stolen dance,True,687.0,2089,100.0,100.0,100.0
john mayer,gravity,john mayer,gravity,True,1540.0,1509,100.0,100.0,100.0
mgmt,time to pretend,mgmt,time to pretend,True,112.0,2045,100.0,100.0,100.0
nelly furtado,say it right,nelly furtado,say it right,True,288.0,357,100.0,100.0,100.0
bob dylan,like a rolling stone,bob dylan,like a rolling stone,True,527.0,356,100.0,100.0,100.0
bob dylan,knockin' on heaven's door,bob dylan,knockin' on heaven's door,True,559.0,355,100.0,100.0,100.0
mgmt,kids,mgmt,kids,True,106.0,2044,100.0,100.0,100.0
mgmt,electric feel,mgmt,electric feel,True,109.0,2043,100.0,100.0,100.0
natalie imbruglia,torn,natalie imbruglia,torn,True,1646.0,2143,100.0,100.0,100.0
bob dylan,blowin' in the wind,bob dylan,blowin' in the wind,True,702.0,351,100.0,100.0,100.0
carly rae jepsen,call me maybe,carly rae jepsen,call me maybe,True,237.0,522,100.0,100.0,100.0
nelly furtado,promiscuous,nelly furtado,promiscuous,True,240.0,349,100.0,100.0,100.0
snoop dogg,drop it like it's hot,snoop dogg,drop it like it's hot,True,1347.0,2722,100.0,100.0,100.0
meshuggah,bleed,meshuggah,bleed,True,1057.0,2039,100.0,100.0,100.0
bon jovi,livin' on a prayer,bon jovi,livin' on a prayer,True,98.0,392,100.0,100.0,100.0
scorpions,rock you like a hurricane,scorpions,rock you like a hurricane,True,1134.0,2640,100.0,100.0,100.0
mercyful fate,evil,mercyful fate,evil,True,903.0,2037,100.0,100.0,100.0
justin bieber,beauty and a beat,justin bieber,beauty and a beat,True,1328.0,1574,100.0,100.0,100.0
natasha bedingfield,unwritten,natasha bedingfield,unwritten,True,307.0,2145,100.0,100.0,100.0
blondie,heart of glass,blondie,heart of glass,True,1021.0,340,100.0,100.0,100.0
blondie,call me,blondie,call me,True,536.0,339,100.0,100.0,100.0
frank sinatra,somethin' stupid,frank sinatra,somethin' stupid,True,450.0,1056,100.0,100.0,100.0
blink-182,what's my age again?,blink-182,what's my age again?,True,744.0,337,100.0,100.0,100.0
blink-182,all the small things,blink-182,all the small things,True,43.0,336,100.0,100.0,100.0
men at work,down under,men at work,down under,True,1009.0,2035,100.0,100.0,100.0
dio,holy diver,dio,holy diver,True,1146.0,777,100.0,100.0,100.0
snow patrol,chasing cars,snow patrol,chasing cars,True,56.0,2726,100.0,100.0,100.0
the doors,light my fire,the doors,light my fire,True,528.0,2942,100.0,100.0,100.0
blue swede,hooked on a feeling,blue swede,hooked on a feeling,True,1501.0,346,100.0,100.0,100.0
bon jovi,it's my life,bon jovi,it's my life,True,557.0,391,100.0,100.0,100.0
muse,unintended,muse,unintended,True,1119.0,2131,100.0,100.0,100.0
calvin harris,summer,calvin harris,summer,True,170.0,498,100.0,100.0,100.0
pink floyd,time,pink floyd,time,True,520.0,2366,100.0,100.0,100.0
pink floyd,wish you were here,pink floyd,wish you were here,True,96.0,2367,100.0,100.0,100.0
the jackson 5,i want you back,the jackson 5,i want you back,True,1000.0,2971,100.0,100.0,100.0
jimi hendrix,purple haze,jimi hendrix,purple haze,True,517.0,1469,100.0,100.0,100.0
jimi hendrix,little wing,jimi hendrix,little wing,True,1527.0,1468,100.0,100.0,100.0
jim croce,time in a bottle,jim croce,time in a bottle,True,1706.0,1467,100.0,100.0,100.0
slipknot,people = shit,slipknot,people = shit,True,1036.0,2715,100.0,100.0,100.0
the human league,don't you want me,the human league,don't you want me,True,1034.0,2965,100.0,100.0,100.0
cannibal corpse,hammer smashed face,cannibal corpse,hammer smashed face,True,1064.0,506,100.0,100.0,100.0
rihanna,diamonds,rihanna,diamonds,True,304.0,2373,100.0,100.0,100.0
the fray,how to save a life,the fray,how to save a life,True,102.0,2953,100.0,100.0,100.0
disclosure,latch,disclosure,latch,True,1853.0,789,100.0,100.0,100.0
capital cities,safe and sound,capital cities,safe and sound,True,138.0,512,100.0,100.0,100.0
michael jackson,beat it,michael jackson,beat it,True,58.0,2055,100.0,100.0,100.0
plain white t's,hey there delilah,plain white t's,hey there delilah,True,271.0,2376,100.0,100.0,100.0
dream theater,pull me under,dream theater,pull me under,True,1811.0,864,100.0,100.0,100.0
dire straits,sultans of swing,dire straits,sultans of swing,True,498.0,786,100.0,100.0,100.0
the temptations,my girl,the temptations,my girl,True,1237.0,3086,100.0,100.0,100.0
smash mouth,all star,smash mouth,all star,True,1483.0,2719,100.0,100.0,100.0
dire straits,money for nothing,dire straits,money for nothing,True,1025.0,784,100.0,100.0,100.0
judas priest,breaking the law,judas priest,breaking the law,True,1132.0,1561,100.0,100.0,100.0
bob dylan,the times they are a-changin',bob dylan,the times they are a-changin',True,705.0,363,100.0,100.0,100.0
sean kingston,beautiful girls,sean kingston,beautiful girls,True,844.0,2644,100.0,100.0,100.0
seal,kiss from a rose,seal,kiss from a rose,True,1271.0,2643,100.0,100.0,100.0
michael jackson,billie jean,michael jackson,billie jean,True,221.0,2057,100.0,100.0,100.0
red hot chili peppers,road trippin',red hot chili peppers,road trippin',True,1702.0,2460,100.0,100.0,100.0
adele,someone like you,adele,someone like you,True,239.0,81,100.0,100.0,100.0
adele,set fire to the rain,adele,set fire to the rain,True,250.0,80,100.0,100.0,100.0
far east movement,like a g6,far east movement,like a g6,True,172.0,1005,100.0,100.0,100.0
adele,rolling in the deep,adele,rolling in the deep,True,225.0,78,100.0,100.0,100.0
george michael,careless whisper,george michael,careless whisper,True,1005.0,1095,100.0,100.0,100.0
red hot chili peppers,scar tissue,red hot chili peppers,scar tissue,True,30.0,2461,100.0,100.0,100.0
adele,chasing pavements,adele,chasing pavements,True,309.0,75,100.0,100.0,100.0
outkast,ms. jackson,outkast,ms. jackson,True,232.0,2241,100.0,100.0,100.0
owl city,fireflies,owl city,fireflies,True,79.0,2245,100.0,100.0,100.0
louis armstrong,what a wonderful world,louis armstrong,what a wonderful world,True,433.0,1882,100.0,100.0,100.0
limp bizkit,break stuff,limp bizkit,break stuff,True,860.0,1777,100.0,100.0,100.0
accept,balls to the wall,accept,balls to the wall,True,1902.0,70,100.0,100.0,100.0
coolio,gangsta's paradise,coolio,gangsta's paradise,True,829.0,648,100.0,100.0,100.0
ac/dc,thunderstruck,ac/dc,thunderstruck,True,509.0,68,100.0,100.0,100.0
red hot chili peppers,under the bridge,red hot chili peppers,under the bridge,True,21.0,2464,100.0,100.0,100.0
ac/dc,t.n.t.,ac/dc,t.n.t.,True,879.0,66,100.0,100.0,100.0
ac/dc,shoot to thrill,ac/dc,shoot to thrill,True,1135.0,65,100.0,100.0,100.0
linkin park,in the end,linkin park,in the end,True,10.0,1779,100.0,100.0,100.0
lou reed,walk on the wild side,lou reed,walk on the wild side,True,558.0,1880,100.0,100.0,100.0
ac/dc,highway to hell,ac/dc,highway to hell,True,70.0,62,100.0,100.0,100.0
ac/dc,hells bells,ac/dc,hells bells,True,356.0,61,100.0,100.0,100.0
lou reed,perfect day,lou reed,perfect day,True,998.0,1879,100.0,100.0,100.0
ac/dc,back in black,ac/dc,back in black,True,73.0,59,100.0,100.0,100.0
tears for fears,everybody wants to rule the world,tears for fears,everybody wants to rule the world,True,28.0,2823,100.0,100.0,100.0
galantis,runaway (u & i),galantis,runaway (u & i),True,1855.0,1089,100.0,100.0,100.0
janis joplin,me and bobby mcgee,janis joplin,me and bobby mcgee,True,1548.0,1350,100.0,100.0,100.0
ac/dc,you shook me all night long,ac/dc,you shook me all night long,True,516.0,69,100.0,100.0,100.0
corinne bailey rae,put your records on,corinne bailey rae,put your records on,True,434.0,649,100.0,100.0,100.0
evanescence,bring me to life,evanescence,bring me to life,True,34.0,988,100.0,100.0,100.0
j. cole,wet dreamz,j. cole,wet dreamz,True,1103.0,1317,100.0,100.0,100.0
otis redding,(sittin' on) the dock of the bay,otis redding,(sittin' on) the dock of the bay,True,1251.0,2239,100.0,100.0,100.0
wham!,wake me up before you go-go,wham!,wake me up before you go-go,True,1020.0,3300,100.0,100.0,100.0
maroon 5,this love,maroon 5,this love,True,54.0,1973,100.0,100.0,100.0
al green,let's stay together,al green,let's stay together,True,1247.0,104,100.0,100.0,100.0
outkast,hey ya!,outkast,hey ya!,True,227.0,2240,100.0,100.0,100.0
creedence clearwater revival,bad moon rising,creedence clearwater revival,bad moon rising,True,522.0,657,100.0,100.0,100.0
red hot chili peppers,californication,red hot chili peppers,californication,True,14.0,2455,100.0,100.0,100.0
m83,midnight city,m83,midnight city,True,117.0,1901,100.0,100.0,100.0
m.i.a.,paper planes,m.i.a.,paper planes,True,113.0,1900,100.0,100.0,100.0
george ezra,budapest,george ezra,budapest,True,716.0,1101,100.0,100.0,100.0
fall out boy,"sugar, we're goin down",fall out boy,"sugar, we're goin down",True,752.0,1003,100.0,100.0,100.0
whitney houston,i wanna dance with somebody (who loves me),whitney houston,i wanna dance with somebody (who loves me),True,1022.0,3309,100.0,100.0,100.0
whitney houston,i will always love you,whitney houston,i will always love you,True,1495.0,3310,100.0,100.0,100.0
lynyrd skynyrd,free bird,lynyrd skynyrd,free bird,True,519.0,1897,100.0,100.0,100.0
red hot chili peppers,can't stop,red hot chili peppers,can't stop,True,48.0,2456,100.0,100.0,100.0
red hot chili peppers,give it away,red hot chili peppers,give it away,True,1649.0,2457,100.0,100.0,100.0
aerosmith,walk this way,aerosmith,walk this way,True,880.0,91,100.0,100.0,100.0
red hot chili peppers,otherside,red hot chili peppers,otherside,True,49.0,2458,100.0,100.0,100.0
creedence clearwater revival,fortunate son,creedence clearwater revival,fortunate son,True,84.0,658,100.0,100.0,100.0
creedence clearwater revival,have you ever seen the rain,creedence clearwater revival,have you ever seen the rain,True,531.0,659,100.0,100.0,100.0
falco,rock me amadeus,falco,rock me amadeus,True,1867.0,1000,100.0,100.0,100.0
fall out boy,centuries,fall out boy,centuries,True,784.0,1001,100.0,100.0,100.0
aerosmith,dream on,aerosmith,dream on,True,101.0,85,100.0,100.0,100.0
fall out boy,my songs know what you did in the dark (light em up),fall out boy,my songs know what you did in the dark (light em up),True,812.0,1002,100.0,100.0,100.0
lynyrd skynyrd,sweet home alabama,lynyrd skynyrd,sweet home alabama,True,500.0,1898,100.0,100.0,100.0
50 cent,candy shop,50 cent,candy shop,True,846.0,26,100.0,100.0,100.0
pantera,cowboys from hell,pantera,cowboys from hell,True,350.0,2256,100.0,100.0,100.0
pantera,walk,pantera,walk,True,345.0,2257,100.0,100.0,100.0
zedd,clarity,zedd,clarity,True,1852.0,3377,100.0,100.0,100.0
danzig,mother,danzig,mother,True,391.0,688,100.0,100.0,100.0
rihanna,disturbia,rihanna,disturbia,True,262.0,2486,100.0,100.0,100.0
rihanna,don't stop the music,rihanna,don't stop the music,True,234.0,2487,100.0,100.0,100.0
paramore,ain't it fun,paramore,ain't it fun,True,1261.0,2259,100.0,100.0,100.0
james blunt,you're beautiful,james blunt,you're beautiful,True,982.0,1331,100.0,100.0,100.0
taio cruz,dynamite,taio cruz,dynamite,True,833.0,2802,100.0,100.0,100.0
paramore,misery business,paramore,misery business,True,38.0,2262,100.0,100.0,100.0
rihanna,only girl (in the world),rihanna,only girl (in the world),True,116.0,2491,100.0,100.0,100.0
rihanna,rude boy,rihanna,rude boy,True,298.0,2492,100.0,100.0,100.0
abba,mamma mia,abba,mamma mia,True,1008.0,55,100.0,100.0,100.0
foo fighters,learn to fly,foo fighters,learn to fly,True,856.0,1045,100.0,100.0,100.0
foo fighters,monkey wrench,foo fighters,monkey wrench,True,874.0,1046,100.0,100.0,100.0
foo fighters,my hero,foo fighters,my hero,True,855.0,1047,100.0,100.0,100.0
rihanna,where have you been,rihanna,where have you been,True,1847.0,2501,100.0,100.0,100.0
rihanna,s&m,rihanna,s&m,True,63.0,2493,100.0,100.0,100.0
t.i.,whatever you like,t.i.,whatever you like,True,1338.0,2800,100.0,100.0,100.0
