spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
usher,love in this club,usher,love in this club,True,30175.0,3258,100.0,100.0,100.0
usher,dj got us fallin' in love,usher,dj got us fallin' in love,True,30167.0,3257,100.0,100.0,100.0
usher,confessions part ii,usher,confessions part ii,True,30166.0,3256,100.0,100.0,100.0
uncle kracker,drift away,uncle kracker,drift away,True,30138.0,3251,100.0,100.0,100.0
air supply,the one that you love,air supply,the one that you love,True,616.0,97,100.0,100.0,100.0
air supply,lost in love,air supply,lost in love,True,612.0,96,100.0,100.0,100.0
air supply,all out of love,air supply,all out of love,True,606.0,95,100.0,100.0,100.0
afroman,because i got high,afroman,because i got high,True,588.0,93,100.0,100.0,100.0
aerosmith,walk this way,aerosmith,walk this way,True,579.0,91,100.0,100.0,100.0
aerosmith,dude (looks like a lady),aerosmith,dude (looks like a lady),True,562.0,86,100.0,100.0,100.0
aerosmith,dream on,aerosmith,dream on,True,561.0,85,100.0,100.0,100.0
ub40,red red wine,ub40,red red wine,True,30128.0,3249,100.0,100.0,100.0
u2,with or without you,u2,with or without you,True,30120.0,3247,100.0,100.0,100.0
u2,i still haven't found what i'm looking for,u2,i still haven't found what i'm looking for,True,30102.0,3244,100.0,100.0,100.0
tyga,taste,tyga,taste,True,30021.0,3240,100.0,100.0,100.0
tyga,rack city,tyga,rack city,True,30019.0,3239,100.0,100.0,100.0
twista,slow jamz,twista,slow jamz,True,29991.0,3236,100.0,100.0,100.0
twenty one pilots,stressed out,twenty one pilots,stressed out,True,29978.0,3234,100.0,100.0,100.0
alan o'day,undercover angel,alan o'day,undercover angel,True,769.0,109,100.0,100.0,100.0
al wilson,show and tell,al wilson,show and tell,True,729.0,105,100.0,100.0,100.0
al green,let's stay together,al green,let's stay together,True,669.0,104,100.0,100.0,100.0
akon,smack that,akon,smack that,True,636.0,102,100.0,100.0,100.0
akon,locked up,akon,locked up,True,633.0,101,100.0,100.0,100.0
akon,i wanna love you,akon,i wanna love you,True,631.0,99,100.0,100.0,100.0
twenty one pilots,ride,twenty one pilots,ride,True,29976.0,3233,100.0,100.0,100.0
twenty one pilots,heathens,twenty one pilots,heathens,True,29970.0,3232,100.0,100.0,100.0
trey songz,say aah,trey songz,say aah,True,29853.0,3227,100.0,100.0,100.0
trey songz,bottoms up,trey songz,bottoms up,True,29837.0,3225,100.0,100.0,100.0
travis scott,sicko mode,travis scott,sicko mode,True,29802.0,3224,100.0,100.0,100.0
travis scott,highest in the room,travis scott,highest in the room,True,29787.0,3222,100.0,100.0,100.0
travis scott,franchise,travis scott,franchise,True,29784.0,3220,100.0,100.0,100.0
mumford and sons,i will wait,mumford and sons,i will wait,True,19064.0,129,100.0,100.0,100.0
alice cooper,poison,alice cooper,poison,True,836.0,125,100.0,100.0,100.0
alex clare,too close,alex clare,too close,True,806.0,124,100.0,100.0,100.0
alessia cara,scars to your beautiful,alessia cara,scars to your beautiful,True,801.0,122,100.0,100.0,100.0
alessia cara,here,alessia cara,here,True,799.0,121,100.0,100.0,100.0
albert hammond,it never rains in southern california,albert hammond,it never rains in southern california,True,788.0,120,100.0,100.0,100.0
alannah myles,black velvet,alannah myles,black velvet,True,780.0,118,100.0,100.0,100.0
travie mccoy,billionaire,travie mccoy,billionaire,True,29766.0,3217,100.0,100.0,100.0
young money,bedrock,young money,bedrock,True,31016.0,3215,100.0,100.0,100.0
train,"hey, soul sister",train,"hey, soul sister",True,29750.0,3195,100.0,100.0,100.0
train,drops of jupiter (tell me),train,drops of jupiter (tell me),True,29749.0,3194,100.0,100.0,100.0
train,drive by,train,drive by,True,29748.0,3193,100.0,100.0,100.0
tracy chapman,fast car,tracy chapman,fast car,True,29730.0,3189,100.0,100.0,100.0
tove lo,talking body,tove lo,talking body,True,29675.0,3185,100.0,100.0,100.0
tove lo,habits (stay high),tove lo,habits (stay high),True,29674.0,3184,100.0,100.0,100.0
toto,rosanna,toto,rosanna,True,29665.0,3180,100.0,100.0,100.0
toto,hold the line,toto,hold the line,True,29658.0,3179,100.0,100.0,100.0
toto,africa,toto,africa,True,29656.0,3177,100.0,100.0,100.0
toni braxton,un-break my heart,toni braxton,un-break my heart,True,29539.0,3171,100.0,100.0,100.0
american authors,best day of my life,american authors,best day of my life,True,963.0,145,100.0,100.0,100.0
america,sister golden hair,america,sister golden hair,True,956.0,144,100.0,100.0,100.0
america,a horse with no name,america,a horse with no name,True,946.0,143,100.0,100.0,100.0
alicia keys,no one,alicia keys,no one,True,858.0,136,100.0,100.0,100.0
alicia keys,fallin',alicia keys,fallin',True,852.0,134,100.0,100.0,100.0
toni braxton,he wasn't man enough,toni braxton,he wasn't man enough,True,29532.0,3169,100.0,100.0,100.0
tones and i,dance monkey,tones and i,dance monkey,True,29525.0,3168,100.0,100.0,100.0
tommy roe,sheila,tommy roe,sheila,True,29499.0,3167,100.0,100.0,100.0
tommy roe,dizzy,tommy roe,dizzy,True,29488.0,3166,100.0,100.0,100.0
tommy page,i'll be your everything,tommy page,i'll be your everything,True,29483.0,3165,100.0,100.0,100.0
tommy edwards,it's all in the game,tommy edwards,it's all in the game,True,29434.0,3161,100.0,100.0,100.0
tom petty and the heartbreakers,refugee,tom petty and the heartbreakers,refugee,True,29406.0,3157,100.0,100.0,100.0
tom petty,i won't back down,tom petty,i won't back down,True,29387.0,3155,100.0,100.0,100.0
tom petty,free fallin',tom petty,free fallin',True,29386.0,3154,100.0,100.0,100.0
anne murray,you needed me,anne murray,you needed me,True,1185.0,159,100.0,100.0,100.0
anita ward,ring my bell,anita ward,ring my bell,True,1142.0,157,100.0,100.0,100.0
andy kim,rock me gently,andy kim,rock me gently,True,1048.0,154,100.0,100.0,100.0
andy grammer,"honey, i'm good.",andy grammer,"honey, i'm good.",True,1031.0,153,100.0,100.0,100.0
andy gibb,shadow dancing,andy gibb,shadow dancing,True,1024.0,152,100.0,100.0,100.0
andy gibb,i just want to be your everything,andy gibb,i just want to be your everything,True,1022.0,151,100.0,100.0,100.0
andy gibb,(love is) thicker than water,andy gibb,(love is) thicker than water,True,1018.0,150,100.0,100.0,100.0
amine,caroline,amine,caroline,True,975.0,147,100.0,100.0,100.0
